postcode,lga_code
0800,71000
0800,79399
0810,71000
0812,71000
0820,71000
0822,70540
0822,70700
0822,71000
0822,71300
0822,72200
0822,72300
0822,73600
0822,74050
0822,74500
0822,74560
0822,74660
0822,79399
0828,71000
0828,72300
0828,79399
0829,72300
0829,72800
0830,72300
0830,72800
0832,72300
0832,72800
0835,72300
0836,72300
0837,72300
0838,72300
0840,79399
0841,72300
0845,70700
0846,70700
0847,74500
0850,72200
0850,73600
0852,53920
0852,59340
0852,70420
0852,70620
0852,72200
0852,73600
0852,74500
0853,72200
0854,73600
0860,70420
0862,70420
0862,73600
0870,70200
0872,40250
0872,53220
0872,56620
0872,70420
0872,70620
0872,72330
0872,79399
0880,71300
0880,79399
0885,79399
0886,74660
0909,71000
2000,17200
2006,17200
2007,17200
2008,17200
2009,17200
2010,17200
2011,17200
2015,17200
2016,17200
2017,17200
2018,11100
2018,17200
2019,11100
2020,11100
2021,17200
2021,18500
2022,18050
2023,18500
2024,18050
2025,18500
2026,18050
2027,18500
2028,18500
2029,18050
2029,18500
2030,18050
2030,18500
2031,16550
2032,11100
2032,16550
2033,16550
2033,17200
2034,16550
2035,11100
2035,16550
2036,11100
2036,16550
2037,17200
2038,14800
2038,17200
2039,14800
2040,14800
2041,14800
2042,15200
2042,17200
2043,17200
2044,15200
2044,17200
2045,10150
2045,14800
2046,11520
2047,11520
2048,14800
2048,15200
2049,15200
2050,15200
2050,17200
2052,16550
2060,15950
2061,15950
2062,15950
2063,18250
2064,18250
2065,14700
2065,15950
2065,18250
2066,14700
2066,18250
2067,16700
2067,18250
2068,18250
2069,14500
2069,18250
2070,14500
2071,14500
2072,14500
2073,14500
2074,14500
2075,14500
2076,14000
2076,14500
2077,14000
2079,14000
2080,14000
2081,14000
2082,14000
2083,13100
2083,14000
2084,16370
2084,18000
2085,18000
2086,18000
2087,18000
2088,15350
2089,15950
2090,15950
2092,15150
2093,15150
2093,18000
2094,15150
2095,15150
2096,18000
2097,18000
2099,18000
2100,18000
2101,16370
2101,18000
2102,16370
2103,16370
2104,16370
2105,16370
2106,16370
2107,16370
2108,16370
2109,16700
2110,14100
2110,16700
2111,14100
2111,16700
2112,16700
2113,16700
2114,16250
2114,16700
2115,16250
2116,16250
2117,16250
2117,17420
2118,14000
2118,16250
2118,17420
2119,14000
2120,14000
2121,14000
2121,16250
2122,14000
2122,16250
2122,16700
2123,16250
2125,14000
2125,17420
2126,14000
2127,10200
2128,10200
2129,17100
2130,10150
2130,15200
2131,10150
2132,10150
2132,11300
2133,10150
2133,11300
2133,11550
2133,17100
2134,11300
2135,11300
2135,11520
2135,17100
2136,11300
2136,17100
2137,11520
2138,11520
2139,11520
2140,17100
2141,10200
2142,13950
2142,16250
2143,10200
2143,10350
2144,10200
2145,13950
2145,16250
2146,10750
2146,13950
2146,16250
2147,10750
2148,10750
2150,13950
2150,16250
2151,16250
2151,17420
2152,16250
2152,17420
2153,10750
2153,16250
2153,17420
2154,14000
2154,17420
2155,10750
2155,17420
2156,14000
2156,17420
2157,14000
2157,17420
2158,14000
2158,17420
2159,14000
2160,13950
2160,16250
2161,12850
2161,13950
2161,16250
2162,10350
2162,16250
2163,10350
2163,12850
2164,12850
2164,13950
2165,12850
2165,13950
2166,12850
2167,11500
2168,14900
2170,12850
2170,14900
2171,12850
2171,14900
2172,14900
2172,17150
2173,11500
2173,14900
2174,14900
2175,12850
2176,12850
2177,12850
2177,14900
2178,12850
2178,14900
2178,16350
2179,11450
2179,14900
2190,10350
2190,17100
2191,11550
2191,17100
2192,11550
2193,10150
2193,11550
2194,11550
2195,11550
2196,10350
2196,11550
2197,10350
2198,10350
2199,10350
2200,10350
2203,15200
2204,11550
2204,15200
2205,16650
2206,11550
2207,16650
2208,11550
2208,14150
2208,16650
2209,11550
2209,14150
2210,11550
2210,14150
2211,10350
2212,10350
2213,10350
2214,10350
2216,16650
2217,14450
2217,16650
2218,14150
2218,14450
2218,16650
2219,14450
2219,16650
2220,14150
2220,14450
2221,14450
2222,14150
2222,14450
2223,14150
2223,14450
2224,17150
2225,17150
2226,17150
2227,17150
2228,17150
2229,17150
2230,17150
2231,17150
2232,17150
2233,17150
2234,17150
2250,11720
2250,13100
2250,18550
2251,13100
2256,13100
2257,13100
2258,13100
2258,18550
2259,14650
2259,18550
2260,13100
2260,18550
2261,18550
2262,18550
2263,18550
2264,14650
2265,14650
2267,14650
2278,14650
2280,14650
2281,14650
2282,14650
2283,14650
2284,14650
2285,14650
2286,14650
2287,14650
2287,15900
2289,14650
2289,15900
2290,14650
2291,15900
2292,15900
2293,15900
2294,15900
2295,15900
2295,16400
2296,15900
2297,15900
2298,15900
2299,15900
2300,15900
2302,15900
2303,15900
2304,15900
2305,14650
2305,15900
2306,14650
2307,15900
2308,15900
2311,12700
2311,17000
2312,13320
2312,13380
2314,16400
2315,16400
2316,16400
2317,16400
2318,16400
2319,16400
2320,11720
2320,12700
2320,15050
2320,16400
2320,17000
2321,11720
2321,12700
2321,15050
2321,16400
2322,11720
2322,15050
2322,15900
2322,16400
2323,11720
2323,14650
2323,15050
2324,13320
2324,15050
2324,16400
2325,11720
2325,17000
2326,11720
2326,15050
2327,11720
2328,15650
2329,17620
2329,18020
2330,15650
2330,17000
2331,17000
2333,15650
2333,17620
2334,11720
2334,15050
2335,11720
2335,15050
2335,17000
2336,15650
2336,17620
2337,17620
2338,14920
2338,17310
2338,17620
2339,14920
2340,13550
2340,17310
2341,13550
2341,14920
2342,13550
2342,14920
2342,17310
2343,13550
2343,14920
2344,17310
2345,17310
2346,17310
2347,13660
2347,15750
2347,17310
2350,10110
2350,13650
2350,17650
2351,10110
2352,17310
2353,17310
2354,17310
2354,17650
2354,17850
2355,17310
2356,15750
2357,18020
2358,17650
2359,13650
2359,13660
2359,17310
2359,17650
2360,13650
2360,13660
2360,14200
2361,14200
2365,10110
2365,13010
2365,13650
2365,14200
2369,13650
2369,14200
2370,11730
2370,13010
2370,14200
2371,13010
2371,14200
2371,17400
2372,17400
2372,36660
2379,13550
2379,18020
2380,13550
2381,13550
2381,14920
2381,18020
2382,13550
2382,15750
2386,15750
2386,17900
2387,15300
2387,15750
2387,17900
2388,15750
2388,17900
2390,13660
2390,15300
2390,15750
2395,18020
2396,18020
2397,15300
2397,15750
2398,15300
2399,13660
2399,15300
2400,13660
2400,15300
2401,13660
2401,15300
2402,13660
2402,14200
2403,13660
2403,14200
2404,13660
2405,15300
2406,15300
2406,30300
2406,33610
2408,13660
2409,13660
2409,14200
2409,15300
2410,13660
2410,14200
2411,13660
2415,13320
2420,12700
2420,13320
2421,12700
2421,15050
2422,13050
2422,13320
2422,13380
2423,13320
2423,13380
2424,13050
2424,13380
2425,13320
2426,13380
2427,13380
2428,13320
2429,13320
2429,13380
2429,16380
2430,13320
2430,13380
2431,14350
2439,16380
2440,10110
2440,14350
2441,10600
2441,11800
2441,14350
2441,15700
2441,16380
2443,13380
2443,16380
2444,16380
2445,16380
2446,16380
2447,15700
2448,10600
2448,15700
2449,10600
2449,15700
2450,11730
2450,11800
2452,11800
2453,10110
2453,10600
2453,11730
2453,13650
2454,10600
2454,11800
2454,15700
2455,10600
2456,11730
2456,11800
2460,11730
2460,11800
2462,11730
2463,11730
2464,11730
2465,11730
2466,11730
2469,11730
2469,14550
2469,16610
2469,17400
2470,14550
2470,14850
2470,16610
2471,14850
2471,16610
2472,10250
2472,14850
2472,16610
2473,16610
2474,14550
2475,14550
2475,17400
2476,14550
2476,17400
2477,10250
2477,14850
2478,10250
2479,10250
2479,11350
2480,10250
2480,11350
2480,14550
2480,14850
2480,16610
2481,10250
2481,11350
2482,11350
2483,11350
2483,17550
2484,17550
2485,17550
2486,17550
2487,17550
2488,17550
2489,17550
2490,17550
2500,18450
2502,18450
2505,18450
2506,18450
2508,18400
2508,18450
2515,18450
2516,18450
2517,18450
2518,18450
2519,18450
2522,18450
2525,18450
2526,18450
2527,14400
2527,16900
2528,16900
2528,18450
2529,16900
2530,18450
2533,14400
2534,14400
2535,14400
2535,16950
2536,12750
2536,16950
2537,12750
2538,16950
2539,16950
2540,16950
2540,99399
2541,16950
2545,12750
2546,10550
2546,12750
2548,10550
2549,10550
2550,10550
2551,10550
2551,11000
2555,14900
2555,16350
2556,11450
2556,14900
2557,11450
2557,14900
2558,11500
2559,11500
2560,11500
2560,18400
2563,11500
2564,11500
2565,11500
2565,14900
2566,11500
2567,11450
2568,11500
2568,18400
2569,18400
2570,11450
2570,18400
2571,18350
2571,18400
2572,18400
2573,18400
2574,18400
2575,18350
2576,18350
2577,14400
2577,16900
2577,16950
2577,18350
2578,18350
2579,13310
2579,17640
2579,18350
2580,13310
2580,16100
2580,16180
2580,17640
2580,18350
2581,13310
2581,16180
2581,17640
2581,18710
2582,13700
2582,17640
2582,18710
2583,10470
2583,11050
2583,17640
2584,13700
2584,18710
2585,13700
2586,11050
2586,18750
2587,13700
2588,12200
2590,12200
2590,14300
2594,12200
2594,13700
2594,18100
2594,18750
2600,89399
2601,89399
2602,89399
2603,89399
2604,89399
2605,89399
2606,89399
2607,89399
2609,89399
2611,17500
2611,18710
2611,89399
2612,89399
2614,89399
2615,89399
2617,89399
2618,18710
2618,89399
2619,16470
2620,12050
2620,16180
2620,16470
2620,18710
2620,89399
2621,12050
2621,16180
2621,18710
2622,12050
2622,12750
2622,13310
2622,16180
2622,16950
2623,16180
2624,17450
2625,17050
2626,12050
2627,17050
2628,17050
2629,12050
2629,17050
2629,17500
2630,11000
2630,12050
2630,17050
2631,11000
2631,12050
2632,10550
2632,11000
2633,11000
2640,10050
2640,13340
2640,17450
2641,10050
2642,13340
2642,14950
2642,17450
2642,17700
2642,26670
2643,12300
2644,13340
2644,17450
2644,17750
2645,14950
2645,17700
2646,10650
2646,12300
2646,13340
2646,14250
2646,17700
2647,10650
2647,12300
2648,18200
2648,19399
2649,17450
2649,17500
2650,13340
2650,14300
2650,15800
2650,17750
2651,17750
2652,11600
2652,12000
2652,13340
2652,13450
2652,14300
2652,14950
2652,15800
2652,17450
2652,17700
2652,17750
2653,17450
2653,17500
2655,14950
2655,17750
2656,14950
2656,17750
2658,13340
2658,14950
2659,13340
2659,14950
2660,13340
2661,17750
2663,12000
2663,14300
2665,10800
2665,11600
2665,12000
2665,15800
2665,17350
2666,10800
2666,14300
2666,17350
2666,18750
2668,10800
2668,17350
2669,10800
2669,11600
2669,14600
2671,10800
2671,12900
2671,14600
2672,11750
2672,14600
2675,11600
2678,17750
2680,11600
2680,13450
2681,11600
2681,13450
2700,14250
2700,14750
2700,15800
2700,17700
2701,12000
2702,12000
2702,17750
2703,14750
2705,13450
2705,14750
2705,15550
2705,15800
2706,15550
2707,14250
2707,15550
2710,11860
2710,12500
2710,13850
2710,14250
2710,15500
2710,17800
2711,10300
2711,11600
2711,13850
2711,15550
2711,17800
2712,10650
2712,14250
2713,10650
2713,11860
2713,14250
2714,10650
2714,11860
2714,15500
2714,24900
2715,10300
2715,18200
2715,26610
2716,11860
2716,14250
2717,18200
2720,17500
2721,10800
2721,18100
2722,12200
2722,13500
2722,17500
2725,12200
2725,17350
2726,13700
2727,12200
2727,13500
2729,13500
2729,14300
2729,17500
2730,17450
2730,17500
2731,15500
2732,15500
2732,17800
2732,22250
2733,11860
2733,17800
2734,10300
2734,17800
2735,17800
2735,26610
2736,17800
2737,10300
2738,18200
2739,18200
2745,11450
2745,14900
2745,16350
2745,18400
2747,10750
2747,16350
2748,16350
2749,16350
2750,16350
2752,18400
2753,13800
2753,16350
2754,13800
2755,13800
2756,13800
2756,14000
2756,16350
2756,17420
2757,13800
2758,10900
2758,13800
2759,16350
2760,10750
2760,16350
2761,10750
2762,10750
2763,10750
2765,10750
2765,13800
2765,16350
2765,17420
2766,10750
2767,10750
2768,10750
2769,10750
2770,10750
2773,10900
2774,10900
2775,13100
2775,13800
2775,14000
2775,17420
2776,10900
2777,10900
2778,10900
2779,10900
2780,10900
2782,10900
2783,10900
2784,10900
2785,10900
2785,14870
2786,10900
2786,14870
2787,10470
2787,10900
2787,14870
2787,16100
2787,17640
2787,18400
2790,10900
2790,14870
2790,16100
2791,10850
2792,10850
2792,12350
2793,12350
2794,11050
2794,12350
2794,18100
2795,10470
2795,10850
2795,11400
2795,14870
2795,15270
2795,16100
2797,10850
2798,10850
2798,11400
2798,16150
2799,10470
2799,10850
2799,11400
2799,12350
2800,10850
2800,11400
2800,16150
2800,18150
2803,18750
2804,11400
2804,12350
2805,11400
2805,12350
2805,12900
2806,11400
2806,12900
2807,12350
2807,18750
2808,11050
2808,12350
2808,17640
2809,18100
2810,12900
2810,18100
2820,18150
2821,15850
2823,15850
2823,16200
2823,17950
2824,17950
2825,10950
2825,14600
2825,17950
2827,12950
2827,17950
2828,12150
2828,12950
2829,12150
2829,18020
2830,12600
2830,12950
2830,18150
2831,10950
2831,11150
2831,11200
2831,11750
2831,12150
2831,12600
2831,12950
2831,17900
2831,17950
2831,18020
2831,18150
2832,11200
2832,17900
2833,15300
2833,17900
2834,17900
2835,10950
2835,11750
2836,11700
2836,19399
2839,11200
2840,11150
2840,11200
2840,11700
2840,11750
2840,19399
2842,12950
2842,18020
2843,18020
2844,15270
2844,18020
2845,14870
2846,14870
2846,15270
2847,14870
2848,14870
2848,15270
2849,14870
2849,15270
2850,10470
2850,15270
2850,17620
2850,18150
2852,15270
2852,18150
2864,11400
2865,11400
2866,11400
2866,18150
2867,11400
2867,18150
2868,11400
2868,18150
2869,15850
2869,16200
2870,11400
2870,12900
2870,16200
2871,12900
2871,14600
2871,16200
2871,18100
2873,14600
2874,14600
2874,16200
2875,12900
2875,14600
2875,16200
2876,16200
2877,11750
2877,12900
2877,14600
2878,10300
2878,11600
2878,11700
2879,11700
2879,19399
2880,11250
2880,19399
2898,19399
2900,16180
2900,89399
2902,89399
2903,89399
2904,89399
2905,89399
2906,89399
2911,89399
2912,89399
2913,89399
2914,89399
3000,24600
3002,24600
3003,24600
3004,24600
3004,25900
3005,24600
3006,24600
3006,25900
3008,24600
3010,24600
3011,24330
3012,21180
3012,23110
3012,24330
3013,24330
3015,23110
3016,23110
3018,23110
3019,24330
3020,21180
3021,21180
3022,21180
3023,21180
3023,24650
3024,24650
3024,27260
3025,23110
3026,23110
3026,27260
3027,27260
3028,23110
3028,27260
3029,24650
3029,27260
3030,21180
3030,27260
3031,24600
3031,25060
3032,24330
3032,25060
3033,21180
3033,25060
3034,25060
3036,21180
3036,23270
3037,21180
3037,24650
3038,21180
3039,25060
3040,25060
3041,25060
3042,21180
3042,25060
3043,21180
3043,23270
3043,25250
3044,25250
3045,23270
3046,25250
3047,23270
3048,23270
3049,23270
3050,24600
3051,24600
3052,24600
3052,25250
3053,24600
3054,24600
3054,25250
3054,27350
3055,25250
3056,25250
3057,25250
3058,21890
3058,25250
3059,23270
3060,23270
3060,25250
3061,23270
3062,23270
3063,23270
3064,23270
3064,27070
3065,27350
3066,27350
3067,27350
3068,25250
3068,27350
3070,21890
3071,21890
3072,21890
3073,21890
3074,27070
3075,27070
3076,27070
3078,21890
3078,27350
3079,20660
3081,20660
3082,27070
3083,20660
3083,21890
3083,27070
3084,20660
3085,20660
3085,21890
3086,21890
3087,20660
3088,20660
3088,25710
3089,25710
3090,25710
3091,25710
3093,20660
3094,20660
3095,20660
3095,25710
3096,25710
3097,25710
3099,25710
3101,21110
3101,27350
3102,21110
3103,21110
3104,21110
3104,26980
3105,24210
3106,24210
3107,24210
3108,24210
3109,24210
3111,24210
3113,24210
3113,25710
3114,24210
3114,24410
3115,24210
3115,24410
3115,27450
3116,27450
3121,27350
3122,21110
3123,21110
3124,21110
3125,24970
3125,26980
3126,21110
3127,21110
3127,26980
3128,26980
3129,26980
3130,26980
3131,24210
3131,26980
3132,26980
3133,24410
3133,26980
3134,24210
3134,24410
3135,24410
3136,24410
3137,24410
3137,27450
3138,27450
3139,21450
3139,27450
3140,27450
3141,24600
3141,26350
3142,21110
3142,26350
3143,26350
3144,26350
3145,21110
3145,22310
3145,26350
3146,21110
3146,26350
3147,21110
3147,24970
3148,24970
3149,24970
3150,24970
3151,26980
3152,23670
3153,23670
3153,24410
3154,23670
3155,23670
3156,21610
3156,23670
3156,27450
3158,27450
3159,21450
3159,27450
3160,27450
3161,22310
3162,22310
3163,22310
3165,22310
3166,24970
3167,23430
3167,24970
3168,24970
3169,23430
3170,24970
3171,22670
3172,22670
3172,23430
3173,22670
3174,22670
3175,22670
3175,23430
3177,21610
3178,23670
3179,23670
3180,23670
3181,25900
3181,26350
3182,25900
3183,22310
3183,25900
3184,25900
3185,22310
3185,25900
3186,20910
3187,20910
3187,22310
3188,20910
3189,23430
3190,20910
3190,23430
3191,20910
3192,20910
3192,23430
3193,20910
3194,23430
3195,23430
3196,23430
3197,22170
3197,23430
3198,22170
3199,22170
3200,22170
3201,22170
3202,23430
3204,22310
3205,25900
3206,25900
3207,24600
3207,25900
3211,22750
3211,27260
3212,22750
3214,22750
3215,22750
3216,22750
3216,26490
3217,22750
3218,22750
3219,22750
3220,22750
3221,21750
3221,22490
3221,22750
3221,26490
3222,22750
3223,22750
3224,22750
3225,22750
3225,26080
3226,22750
3227,22750
3227,26490
3228,26490
3230,26490
3231,26490
3232,26490
3233,21750
3235,21750
3235,26490
3236,21750
3237,21750
3237,21830
3238,21750
3239,21750
3239,21830
3240,26490
3241,21750
3241,26490
3242,21750
3242,26490
3243,21750
3249,21750
3249,21830
3250,21750
3251,21750
3251,21830
3254,21750
3260,21750
3260,21830
3264,21830
3264,25490
3265,21830
3265,25490
3266,21750
3266,21830
3267,21830
3268,21830
3268,25490
3269,21830
3270,21830
3270,25490
3271,20260
3271,21830
3271,25490
3272,20260
3272,25490
3273,25490
3274,25490
3275,25490
3276,25490
3277,25490
3277,26730
3278,25490
3279,25490
3280,25490
3280,26730
3281,25490
3281,26730
3282,25490
3282,26730
3283,25490
3283,26730
3284,25490
3285,22410
3285,25490
3286,25490
3287,25490
3289,25490
3289,26260
3292,22410
3293,20260
3293,25490
3293,26260
3294,20260
3294,26260
3300,26260
3301,22410
3301,25490
3301,26260
3302,22410
3302,26260
3303,22410
3303,25490
3304,22410
3304,25490
3305,22410
3309,22410
3310,22410
3311,22410
3312,22410
3312,26260
3312,26890
3314,26260
3315,22410
3315,26260
3317,26260
3317,26890
3318,26890
3318,45090
3319,26890
3321,21750
3321,22490
3321,26490
3322,21750
3322,21830
3322,22490
3323,21830
3324,21830
3324,22490
3325,21830
3325,25990
3328,22490
3329,21750
3329,22490
3330,22490
3331,22490
3332,22490
3333,22490
3333,25150
3334,22490
3334,25150
3335,24650
3337,24130
3337,24650
3338,24650
3338,27260
3340,22750
3340,24650
3340,25150
3341,25150
3342,22490
3342,25150
3345,25150
3350,20570
3351,20260
3351,20570
3351,22490
3351,25490
3351,25990
3352,20570
3352,21830
3352,22490
3352,22910
3352,25150
3352,25990
3355,20570
3356,20570
3357,20570
3357,25150
3360,21830
3360,22490
3360,25990
3361,20260
3361,21830
3361,25990
3363,20570
3363,22910
3364,20570
3364,21670
3364,22910
3364,25150
3364,25430
3370,21670
3370,22910
3371,21670
3371,22910
3371,25990
3373,20260
3373,25990
3374,20260
3374,25810
3375,20260
3375,25990
3377,20260
3377,25810
3377,25990
3378,20260
3379,20260
3379,25490
3380,25810
3381,20260
3381,25810
3384,25810
3384,25990
3385,23190
3385,25810
3385,27630
3387,25810
3388,25810
3388,27630
3390,23190
3390,27630
3391,27630
3392,27630
3393,21270
3393,22980
3393,27630
3395,21270
3395,22980
3395,27630
3396,27630
3400,23190
3401,22980
3401,23190
3401,26260
3401,26890
3401,27630
3407,26260
3409,23190
3409,26890
3412,26890
3413,26890
3414,22980
3415,26890
3418,22980
3418,26890
3419,22980
3419,26890
3420,26890
3423,22980
3424,22980
3424,27630
3427,23270
3427,24650
3428,23270
3429,23270
3429,24130
3430,23270
3430,24130
3431,23270
3431,24130
3432,24130
3433,24130
3434,24130
3435,24130
3435,24850
3437,24130
3438,24130
3440,24130
3441,24130
3442,24130
3444,22620
3444,22910
3444,24130
3444,24850
3444,25430
3446,22910
3446,24130
3446,25430
3447,22910
3447,24130
3447,25430
3448,25430
3450,25430
3451,22910
3451,25430
3453,22620
3453,25430
3458,22910
3458,24130
3458,25150
3460,22910
3461,22910
3461,24130
3461,25150
3461,25430
3462,21670
3462,25430
3463,22620
3463,23940
3463,25430
3464,21670
3464,25430
3465,21670
3465,25430
3465,25810
3465,25990
3467,25990
3468,25990
3469,20260
3469,25990
3472,21670
3472,23940
3472,25430
3475,21670
3475,23940
3475,25810
3477,21270
3477,23940
3477,25810
3477,25990
3478,21270
3478,25810
3478,25990
3480,21270
3480,25810
3480,27630
3482,21270
3483,21270
3485,21270
3485,27630
3487,21270
3487,27630
3488,21270
3488,27630
3489,24780
3489,27630
3490,18200
3490,24780
3491,24780
3491,27630
3494,18200
3494,24780
3496,24780
3498,18200
3498,24780
3500,24780
3501,18200
3501,24780
3505,18200
3505,24780
3506,24780
3507,24780
3509,24780
3512,24780
3515,22620
3515,23940
3516,22620
3516,23940
3517,23940
3518,21270
3518,23940
3520,23940
3521,24850
3522,24850
3523,21370
3523,22620
3523,24850
3523,26430
3525,21270
3525,23940
3527,21270
3527,22250
3527,23940
3529,21270
3530,21270
3531,21270
3533,21270
3533,24780
3533,26610
3537,23940
3540,22250
3542,21270
3542,22250
3544,21270
3544,26610
3546,26610
3549,10300
3549,26610
3550,22620
3551,21370
3551,22620
3551,23940
3555,22620
3556,22620
3556,23940
3557,21370
3557,22620
3558,21370
3558,22620
3559,21370
3559,22620
3561,21370
3562,21370
3563,21370
3564,15500
3564,21370
3565,21370
3566,21370
3567,22250
3567,23940
3568,22250
3570,22620
3570,23940
3571,23940
3572,21370
3572,23940
3573,21370
3573,23940
3575,23940
3576,23940
3579,17800
3579,22250
3579,23940
3579,26610
3580,22250
3581,22250
3583,26610
3584,26610
3585,17800
3585,22250
3585,26610
3586,17800
3586,26610
3588,26610
3589,26610
3590,26610
3591,26610
3594,26610
3595,26610
3596,26610
3597,26610
3599,26610
3607,26430
3608,22830
3608,26430
3610,22830
3610,26430
3612,21370
3612,26430
3614,22830
3616,22830
3617,22830
3618,22830
3620,21370
3620,22830
3621,21370
3622,21370
3623,21370
3623,22830
3624,21370
3629,22830
3630,22830
3631,22830
3631,26430
3633,22830
3634,22830
3634,24900
3635,24900
3636,24900
3637,24900
3638,24900
3639,15500
3639,21370
3639,24900
3640,24900
3641,24900
3644,10650
3644,24900
3646,22830
3646,24900
3646,26430
3647,22830
3649,24900
3658,24850
3658,25620
3659,24850
3660,24850
3660,25620
3662,24850
3663,24850
3663,26430
3664,24850
3664,26430
3665,26430
3666,24850
3666,25620
3666,26430
3669,21010
3669,22830
3669,24250
3669,26430
3670,21010
3670,26430
3672,21010
3673,21010
3673,26700
3675,21010
3675,24900
3675,26700
3677,26700
3678,24900
3678,26700
3682,23350
3682,26700
3683,23350
3685,23350
3685,24900
3685,26700
3687,23350
3688,23350
3690,27170
3691,10050
3691,20110
3691,23350
3691,26670
3691,27170
3694,10050
3694,27170
3695,23350
3695,26670
3697,20110
3698,20110
3699,20110
3699,29399
3700,26670
3701,22110
3701,26670
3704,26670
3705,26670
3707,17450
3707,26670
3708,26670
3709,13340
3709,17450
3709,26670
3711,25620
3712,25620
3713,24250
3713,25620
3714,25620
3715,24250
3715,25620
3717,25620
3718,25620
3719,24250
3719,25620
3720,24250
3722,24250
3722,29399
3723,21010
3723,24250
3723,26700
3723,29399
3725,21010
3725,22830
3726,21010
3727,24900
3728,24900
3730,24900
3732,26700
3733,26700
3735,26700
3737,20110
3737,23350
3738,20110
3739,20110
3740,20110
3741,20110
3741,29399
3744,20110
3746,26700
3747,23350
3747,26700
3749,23350
3750,27070
3751,27070
3752,27070
3753,24850
3753,27070
3754,25710
3754,27070
3755,25710
3755,27070
3756,24130
3756,24850
3757,25620
3757,27070
3758,24850
3759,25710
3760,25710
3761,25710
3762,24130
3762,24850
3763,25620
3763,25710
3764,24130
3764,24850
3765,27450
3766,27450
3767,27450
3770,27450
3775,25710
3775,27450
3777,25620
